before-child-launch	699	691	699	/work/programmes/services-resources/lanes/LF-23-cancellation-subprocess-fd-cleanup/scouts/LF-SCOUT-PROC-01/artifacts/ci-run/before-child-launch/tmp/mmdebstrap.jtnN3Uh3In	0=/dev/null|1=/work/programmes/services-resources/lanes/LF-23-cancellation-subprocess-fd-cleanup/scouts/LF-SCOUT-PROC-01/artifacts/ci-run/before-child-launch/stdout.log|2=/work/programmes/services-resources/lanes/LF-23-cancellation-subprocess-fd-cleanup/scouts/LF-SCOUT-PROC-01/artifacts/ci-run/before-child-launch/stderr.log|3=/work/programmes/services-resources/lanes/LF-23-cancellation-subprocess-fd-cleanup/scouts/LF-SCOUT-PROC-01/artifacts/ci-run/mmdebstrap.instrumented|4=/work/programmes/services-resources/lanes/LF-23-cancellation-subprocess-fd-cleanup/scouts/LF-SCOUT-PROC-01/artifacts/ci-run/before-child-launch/tmp/mmdebstrap.jtnN3Uh3In|5=pipe:[12259]|6=pipe:[12259]|7=socket:[12260]|8=socket:[12261]|9=pipe:[12262]|10=pipe:[12262]|11=<unreadable>
active-worker	823	798	798	/work/programmes/services-resources/lanes/LF-23-cancellation-subprocess-fd-cleanup/scouts/LF-SCOUT-PROC-01/artifacts/ci-run/active-worker/tmp/mmdebstrap.3tVobhdRwo	0=/dev/null|1=/work/programmes/services-resources/lanes/LF-23-cancellation-subprocess-fd-cleanup/scouts/LF-SCOUT-PROC-01/artifacts/ci-run/active-worker/stderr.log|2=/work/programmes/services-resources/lanes/LF-23-cancellation-subprocess-fd-cleanup/scouts/LF-SCOUT-PROC-01/artifacts/ci-run/active-worker/stderr.log|3=/work/programmes/services-resources/lanes/LF-23-cancellation-subprocess-fd-cleanup/scouts/LF-SCOUT-PROC-01/artifacts/ci-run/mmdebstrap.instrumented|4=/work/programmes/services-resources/lanes/LF-23-cancellation-subprocess-fd-cleanup/scouts/LF-SCOUT-PROC-01/artifacts/ci-run/active-worker/tmp/mmdebstrap.3tVobhdRwo|5=<unreadable>|6=pipe:[16682]|7=socket:[16683]|9=pipe:[16685]|10=pipe:[16685]
cleanup	892	691	892	/work/programmes/services-resources/lanes/LF-23-cancellation-subprocess-fd-cleanup/scouts/LF-SCOUT-PROC-01/artifacts/ci-run/cleanup/tmp/mmdebstrap.WtkWXmlmAi	0=/dev/null|1=/work/programmes/services-resources/lanes/LF-23-cancellation-subprocess-fd-cleanup/scouts/LF-SCOUT-PROC-01/artifacts/ci-run/cleanup/stdout.log|2=/work/programmes/services-resources/lanes/LF-23-cancellation-subprocess-fd-cleanup/scouts/LF-SCOUT-PROC-01/artifacts/ci-run/cleanup/stderr.log|3=/work/programmes/services-resources/lanes/LF-23-cancellation-subprocess-fd-cleanup/scouts/LF-SCOUT-PROC-01/artifacts/ci-run/mmdebstrap.instrumented|4=/work/programmes/services-resources/lanes/LF-23-cancellation-subprocess-fd-cleanup/scouts/LF-SCOUT-PROC-01/artifacts/ci-run/cleanup/tmp/mmdebstrap.WtkWXmlmAi|5=<unreadable>
run-progress-parent	991	691	991		0=/dev/null|1=/work/programmes/services-resources/lanes/LF-23-cancellation-subprocess-fd-cleanup/scouts/LF-SCOUT-PROC-01/artifacts/ci-run/run-progress-parent-only/stdout.log|2=/work/programmes/services-resources/lanes/LF-23-cancellation-subprocess-fd-cleanup/scouts/LF-SCOUT-PROC-01/artifacts/ci-run/run-progress-parent-only/stderr.log|3=/work/programmes/services-resources/lanes/LF-23-cancellation-subprocess-fd-cleanup/scouts/LF-SCOUT-PROC-01/artifacts/ci-run/mmdebstrap.run-progress-driver|4=pipe:[15993]|5=<unreadable>|6=pipe:[15994]
